Tick ID,Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Notes
1224,2026-05-16,Old Ladies Route,5.2,Trad,Seneca Rocks,1,75,"Lead, Redpoint","Easily bootied a big blue DMM Offset, but my pink tricam got taken by the mountain gods. Truly, the mountain giveth and the mountain taketh away. "
1223,2026-05-16,Up and Coming,5.4,Trad,Seneca Rocks,2,130,"Lead, Redpoint","Met a territorial wasp right near the top, so I had to traverse around him.. Had good pro to keep the clients safe even with the detour!"
1222,2026-05-16,Worrell's Thicket,5.1,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Placed a brown tricam like 3 inches away from literally the biggest spider I have ever seen at Seneca. He was fine with it though. Poor guy only had six legs.
1215,2026-05-10,Gert's Grungy Gulley,5.4,Trad,Seneca Rocks,2,120,"TR, Clean",TRd P1 twice to check client gear and clean
1214,2026-05-09,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1213,2026-05-09,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"Lead, Redpoint",Nuthin' to say
1212,2026-05-08,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Nuthin' to say
1186,2026-04-02,Seneca Daze,"5.7, PG13",Sport,Seneca Rocks,1,75,"TR, Clean",Counterbalance TR to clean
1185,2026-04-02,Gunsight to South Peak,5.4,Trad,Seneca Rocks,3,180,"Lead, Redpoint",In approach shoes while still a little damp from rain in the morning. Exciting!
1184,2026-04-01,Sunshine,"5.10a, PG13",Trad,Seneca Rocks,1,100,"TR, Fell/Hung",Counterbalanced lower to get my client and gear down from The Burn
1183,2026-04-01,Critter Crack,5.6,Trad,Seneca Rocks,1,80,"Lead, Redpoint",Nuthin' to say
1182,2026-04-01,Front C,5.6,Trad,Seneca Rocks,1,50,"Lead, Redpoint",What a great climb :)
1181,2026-04-01,Le Gourmet,5.4,Trad,Seneca Rocks,1,70,"Lead, Redpoint",Nuthin' to say
1142,2025-11-24,The Great Arch,"5.5, Grade II",Trad,Stone Mountain,3,400,"Lead, Redpoint",Saw a ZILLION turkey vultures circling while rapping the route. They left as quickly as they appeared too!
1141,2025-11-24,Block Route,"5.7+, PG13",Trad,Stone Mountain,1,200,"Lead, Redpoint","Been a while since I climbed slab like this, definitely had to dial in the mental game on the runout! Crux move was fun as ever "
1125,2025-10-26,Ecstasy,5.7,Trad,Seneca Rocks,3,250,"Lead, Redpoint",Nuthin' to say
1122,2025-10-22,Old Ladies Route,5.2,Trad,Seneca Rocks,3,150,"Lead, Redpoint",Nuthin' to say
1121,2025-10-19,Climbin' Punishment,5.8,Trad,Seneca Rocks,3,180,"Lead, Onsight",Onsighted the last pitch; Exciting!
1120,2025-10-19,Ambush,5.11a,Trad,Seneca Rocks,1,40,"TR, Clean",TR to clean the anchor
1119,2025-10-19,Block Party,5.8,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Nuthin' to say
1118,2025-10-19,Fear of Flying,5.8,Trad,Seneca Rocks,1,90,"Lead, Redpoint","Clip the last piece (#2) direct, no need for a draw"
1117,2025-10-18,Seneca Daze,"5.7, PG13",Sport,Seneca Rocks,1,75,"TR, Clean",Counterbalance lower to clean the route
1116,2025-10-18,Old Man's Route,5.2,Trad,Seneca Rocks,4,200,"Lead, Redpoint",Nuthin' to say
1113,2025-10-13,Gunsight To North Peak,5.1,Trad,Seneca Rocks,3,500,"Lead, Redpoint","Holy rope drag, batman! It's legit better to just solo this sumbitch"
1112,2025-10-13,East Face to Gunsight Notch,5.1,Trad,Seneca Rocks,1,80,"Lead, Redpoint",Nuthin' to say
1111,2025-10-13,Windy Corner,5.4,Trad,Seneca Rocks,1,80,"Lead, Redpoint",Fixed the rope drag issue! Also nice to extend the belay
1110,2025-10-13,Old Ladies Route,5.2,Trad,Seneca Rocks,1,60,"Lead, Redpoint",Nuthin' to say
1109,2025-10-13,Up and Coming,5.4,Trad,Seneca Rocks,2,130,"Lead, Redpoint",Found a nice way to split this into two pitches. Thanks Tim!
1108,2025-10-13,Skyline Traverse,5.3,Trad,Seneca Rocks,3,250,"Lead, Redpoint",Nuthin' to say
1107,2025-10-13,Lower Skyline Direct (LSD),5.5,Trad,Seneca Rocks,2,120,"Lead, Redpoint",Nuthin' to say
1102,2025-10-05,Totem (p1 only),5.4,Trad,Seneca Rocks,1,90,"TR, Clean",TR solo to clean everything up after getting the ledges down and getting everyones mock aid leads done
1101,2025-10-04,Totem (p1 only),5.4,Trad,Seneca Rocks,1,90,"Lead, Redpoint","Setting up ropes for everyone to jug and set up the portaledges. Really rough day today, but we ended up with two ledges and two folks sleeping up there"
1100,2025-10-03,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",TR solo in approach shoes to clean after teaching aid climbing all day
1099,2025-09-30,Seneca Daze,"5.7, PG13",Sport,Seneca Rocks,1,75,"TR, Clean",Counterbalance lower to clean the route
1098,2025-09-30,Old Man's Route,5.2,Trad,Seneca Rocks,4,200,"Lead, Redpoint",Nuthin' to say
1095,2025-09-28,Critter Crack,5.6,Trad,Seneca Rocks,1,80,"Lead, Redpoint",Nuthin' to say
1094,2025-09-28,Front C,5.6,Trad,Seneca Rocks,1,50,"Lead, Redpoint",Always so fun to guide this!
1093,2025-09-28,Le Gourmet,5.4,Trad,Seneca Rocks,1,70,"Lead, Redpoint",Found a neat way to extend the belay in order to hang out at the top of the last corner. Gold DMM Offset in a shallow crack to elevate the master point is key
1090,2025-09-26,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1079,2025-08-30,Old Man's Route,5.2,Trad,Seneca Rocks,4,200,"Lead, Redpoint",Nuthin' to say
1070,2025-08-03,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1069,2025-08-02,Ecstasy Junior,5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Had to bail at the top of P1 after my first client got up there so we could all respond to an accident at Banana that took the rest of the day. Rough
1068,2025-08-01,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1066,2025-07-30,Old Man's Route,5.2,Trad,Seneca Rocks,3,200,"Lead, Redpoint",Probably the fastest I've guided three clients up Old Man's
1065,2025-07-29,Worrell's Thicket,5.1,Trad,Seneca Rocks,3,160,"Lead, Redpoint",Hanging belay is rough with 3 followers
1064,2025-07-28,Old Man's Route,5.2,Trad,Seneca Rocks,3,180,"Lead, Redpoint",Nuthin' to say
1063,2025-07-27,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1062,2025-07-25,Fear of Flying,5.8,Trad,Seneca Rocks,1,90,"TR, Clean",Nuthin' to say
1061,2025-07-25,Fear of Flying,5.8,Trad,Seneca Rocks,1,90,"Lead, Redpoint","What an incredible climb, probably the most underrated climb at Seneca!"
1060,2025-07-25,Ambush,5.11a,Trad,Seneca Rocks,1,40,"TR, Clean",Nuthin' to say
1059,2025-07-25,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"TR, Clean",Nuthin' to say
1058,2025-07-25,Block Party,5.8,Trad,Seneca Rocks,1,40,"Lead, Redpoint","Much drier today, thank goodness"
1057,2025-07-25,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Finally found beta that makes this feel super cruiser
1056,2025-07-24,Ye Gods & Little Fishes,5.8,Trad,Seneca Rocks,1,95,"TR, Clean",Nuthin' to say
1055,2025-07-24,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"TR, Clean",Nuthin' to say
1054,2025-07-24,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"Lead, Redpoint","SO cruiser, what an awesome rock climb"
1053,2025-07-24,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Nuthin' to say
1050,2025-07-21,Old Man's Route,5.2,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Nuthin' to say
1049,2025-07-21,Neck Press,5.7,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Nuthin' to say
1048,2025-07-19,Ambush,5.11a,Trad,Seneca Rocks,1,40,"TR, Clean",TR to clean
1047,2025-07-19,Block Party,5.8,Trad,Seneca Rocks,1,40,"Lead, Redpoint","Spooked a bat in a crack, luckily he didn’t bite me!"
1046,2025-07-19,Triple S,5.8,Trad,Seneca Rocks,2,180,"TR, Clean",Two counterbalance lowers to get the job done! What an awesome route
1045,2025-07-14,Old Ladies Route,5.2,Trad,Seneca Rocks,5,440,"Lead, Redpoint","Had to redo pitch 2 to get a nut my follower couldn't get from the very start, then had to redo pitch 3 because my follower couldn't get a locker open at the anchor. Got caught in a bad thunderstorm right at the tail end of the PO rap!"
1044,2025-07-12,Skyline Traverse,5.3,Trad,Seneca Rocks,3,250,"Lead, Redpoint","Followed P1 and P2, then led P3 to save some time"
1043,2025-07-12,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Follow, Clean",Following Coop on his first real trad lead!
1042,2025-07-11,Gert's Grungy Gulley,5.4,Trad,Seneca Rocks,2,80,"Follow, Clean",Following my client on a mock multipitch
1041,2025-07-11,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"TR, Clean",Cleaning REAL FAST bc of repeated rockfall from someone above
1040,2025-07-11,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Setting up a TR for my client to mock lead
1039,2025-07-10,West Pole,5.7,Trad,Seneca Rocks,1,180,"TR, Clean",TR soloed to get back up to the West Pole rap anchors to do a tandem rappel after a bit of a freakout on rappelling occurred 
1038,2025-07-10,Old Man's Route,5.2,Trad,Seneca Rocks,4,200,"Lead, Redpoint",Minor freakout at the top of P2 just before the big ledge. Scampered down and showed him how to hand jam to get up which he surprisingly actually learned even after the freakout
1035,2025-07-06,Prune,5.7,Trad,Seneca Rocks,1,70,"TR, Clean",Counterbalance lower to clean the route
1034,2025-07-06,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",
1027,2025-07-02,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding CHM
1026,2025-06-25,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding CHM
1024,2025-06-20,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding a church group.
1003,2025-05-24,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Nuthin' to say
1002,2025-05-24,Thais,5.6,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Nuthin' to say
998,2025-05-19,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Nuthin' to say
997,2025-05-19,Thais,5.6,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Nuthin' to say
996,2025-05-19,Bee Sting Corner,5.7,Trad,Seneca Rocks,1,75,"Lead, Redpoint",Nuthin' to say
995,2025-05-19,Kauffman-Cardon,5.4,Trad,Seneca Rocks,1,50,"Lead, Redpoint",Nuthin' to say
994,2025-05-19,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"Lead, Redpoint",Nuthin' to say
991,2025-05-11,Marshall's Madness,5.9,Trad,Seneca Rocks,3,165,"Lead, Redpoint",Nuthin' to say
990,2025-05-11,Triple S,5.8,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Nuthin' to say
989,2025-05-11,Neck Press,5.7,Trad,Seneca Rocks,3,200,"Lead, Redpoint",Nuthin' to say
936,2025-01-23,Costao,5.7,Sport,Pao de Acucar,1,1000,"Lead, Redpoint",Guided Sigrid
935,2025-01-23,Coringa,5.6,Sport,Pao de Acucar,4,330,"Lead, Redpoint",Guided Sigrid
918,2024-10-24,Gert's Grungy Gulley,5.4,Trad,Seneca Rocks,4,150,"Lead, Onsight",Guided my oldest client yet at 81! First time on the upper pitches
917,2024-10-22,Gunsight to South Peak Direct,5.4,Trad,Seneca Rocks,2,150,"Lead, Flash",Guiding to set up silks from a highline across the notch. Two pitches from upper broadway to the highline anchor.
915,2024-10-18,Critter Crack,5.6,Trad,Seneca Rocks,1,80,"Lead, Redpoint",Guiding
914,2024-10-18,Front C,5.6,Trad,Seneca Rocks,1,50,"Lead, Flash",Guiding
913,2024-10-18,Le Gourmet,5.4,Trad,Seneca Rocks,1,60,"Lead, Redpoint",Guiding. Just P1
912,2024-10-17,Gunsight to South Peak,5.4,Trad,Seneca Rocks,4,150,"Lead, Redpoint",Guiding
911,2024-10-17,Skyline Traverse,5.3,Trad,Seneca Rocks,3,250,"Lead, Redpoint",Guiding. Client bootied a fixed nut!
910,2024-10-16,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Guiding. Just P1
907,2024-10-07,Gunsight to South Peak,5.4,Trad,Seneca Rocks,3,150,"Lead, Redpoint",Guiding
906,2024-10-07,Skyline Traverse,5.3,Trad,Seneca Rocks,2,250,"Lead, Redpoint",Guiding
905,2024-10-07,Lower Skyline Direct (LSD),5.5,Trad,Seneca Rocks,2,120,"Lead, Redpoint",Guiding
904,2024-09-26,Old Man's Route,5.2,Trad,Seneca Rocks,4,60,"Lead, Redpoint",Guiding. Rainy day!
901,2024-09-21,Totem (p1 only),5.4,Trad,Seneca Rocks,3,280,"Lead, Redpoint",Guiding. � TR pitches to anchor stuff and clean
894,2024-09-12,Green Wall,5.7,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guiding
893,2024-09-12,Ecstasy Junior,5.4,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Guiding
892,2024-09-11,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guiding
891,2024-09-10,Old Man's Route,5.2,Trad,Seneca Rocks,2,60,"Lead, Redpoint",Guiding. Just the last two pitches after rapping Conn's
890,2024-09-10,Gunsight to South Peak,5.4,Trad,Seneca Rocks,3,150,"Lead, Redpoint",Guiding
889,2024-09-10,Worrell's Thicket,5.1,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Guiding
885,2024-09-05,Old Man's Route,5.2,Trad,Seneca Rocks,4,150,"Lead, Redpoint",Guiding
860,2024-08-04,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Led P1 to set up a TR. Guiding
859,2024-08-04,The Burn,5.8,Trad,Seneca Rocks,1,150,"TR, Clean",TR to clean. Guiding
858,2024-08-04,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"LRS, Redpoint",LRS w/ revo. Guiding
853,2024-08-02,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Redpoint",Guiding
852,2024-08-02,Thais,5.6,Trad,Seneca Rocks,2,200,"Lead, Redpoint",Guiding. Much smoother transitions
851,2024-08-01,Ecstasy Junior,5.4,Trad,Seneca Rocks,2,160,"Lead, Redpoint",Guiding
850,2024-08-01,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint","Guiding, shouldn't have done the third pitch"
845,2024-07-29,The Burn,5.8,Trad,Seneca Rocks,1,150,"TR, Clean",Guiding. TR to clean
844,2024-07-29,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"Lead, Redpoint",Guiding
841,2024-07-24,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"LRS, Redpoint",Guiding. LRS with Revo. Just P1.
840,2024-07-22,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding
839,2024-07-20,The Burn,5.8,Trad,Seneca Rocks,1,150,"TR, Clean",TR to clean
838,2024-07-20,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"TR, Clean",TR to clean
837,2024-07-20,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding
836,2024-07-18,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guiding. Phone rescue mission from the crack under the first summit rappel station. Success!
835,2024-07-17,Ye Gods & Little Fishes,5.8,Trad,Seneca Rocks,1,85,"TR, Clean",TR to tweak the anchor
834,2024-07-17,Totem (p1 only),5.4,Trad,Seneca Rocks,1,100,"Lead, Redpoint",Guiding
829,2024-07-11,Old Man's Route,5.2,Trad,Seneca Rocks,4,150,"Lead, Redpoint",Guiding
828,2024-07-10,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,1,90,"Lead, Redpoint",Guided Cleo. Just P1
827,2024-07-10,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guided Cleo. 
823,2024-07-07,Skyline Traverse,5.3,Trad,Seneca Rocks,2,190,"Lead, Redpoint",Guiding. Just the last two pitches.
822,2024-07-07,Candy Corner,5.6,Trad,Seneca Rocks,1,95,"Lead, Redpoint",Guiding
821,2024-07-06,Thais - Variation Thais Escape,5.5,Trad,Seneca Rocks,1,40,"Lead, Onsight",Guiding
790,2024-06-01,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guiding. Busy day on the rock!
789,2024-05-28,Old Ladies Route,5.2,Trad,Seneca Rocks,2,150,"Lead, Redpoint",Guiding Matt B. Nighttime ascent
788,2024-05-28,Up and Coming,5.4,Trad,Seneca Rocks,2,130,"Lead, Redpoint",Guiding Matt B. Nighttime ascent
787,2024-05-28,Worrell's Thicket,5.1,Trad,Seneca Rocks,3,160,"Lead, Redpoint",Guiding Matt B. Nighttime ascent
781,2024-05-26,Conn's West,5.4,Trad,Seneca Rocks,3,300,"Lead, Redpoint",Guiding
733,2024-03-29,Old Ladies Route,5.2,Trad,Seneca Rocks,3,150,"Follow, Clean","Guiding. Followed Kyle's lead, guided Alex and Kolton"
654,2023-11-12,The Great Arch,"5.5, Grade II",Trad,Stone Mountain,3,400,"Lead, Redpoint",Guiding
653,2023-11-12,U Slot,"5.7, PG13",Trad,Stone Mountain,1,140,"Lead, Redpoint",Guiding
634,2023-09-08,Easy Hard,5.5,Trad,Moores Central Wall,1,120,"Lead, Redpoint","Guiding, accidentally took the 5.6/7 roof on the left just below the anchor. Oops!"
